Gruppe,Mausnr,s1,s2,s3,speed in cm/s run 1,speed in cm/s run 2,speed in cm/s run 3,t1,t2,t3,in cm Q1/Run1,Q1/Run2,Q1/Run3,in cm Q2/Run1,Q2/Run2,Q2/Run3,in cm Q3/Run1,Q3/Run2,Q3/Run3,in cm Q4/Run1,Q4/Run2,Q4/Run3,Q1/Run1 visits,Q1/Run2 visits,Q1/Run3 visits,Q2/Run1 visits,Q2/Run2 visits,Q2/Run3 visits,Q3/Run1 visits,Q3/Run2 visits,Q3/Run3 visits,Q4/Run1 visits,Q4/Run2 visits,Q4/Run3 visits,Q1/run1 Zeit total in %,Q1/Run2 Zeit total in %,Q1/Run3 Zeit total in %,Q2/Run1 Zeit total in %,Q2/Run2 Zeit total in %,Q2/Run3 Zeit total in %,Q3/Run1 Zeit total in %,Q3/Run2 Zeit total in %,Q3/Run3 Zeit total in %,Q4/Run1 Zeit total in %,Q4/Run2 Zeit total in %,Q4/Run3 Zeit total in %
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,649.44,827.58,311.17,19.39,20.04,19.54,00:33.50,00:41.30,00:15.92,161.60,107.80,71.95,120.89,266.21,137.22,252.91,333.32,38.26,114.04,120.25,63.74,2,2,2,2,4,2,3,4,1,3,3,1,25.09,12.90,21.79,20.05,28.83,43.18,35.78,42.79,12.86,19.08,15.48,22.18
1,4,75.70,125.86,246.33,18.08,24.12,21.16,00:04.19,00:05.22,00:11.64,0.00,0.00,70.45,0.00,37.75,16.63,46.02,59.64,82.38,29.68,28.47,76.86,0,0,2,0,1,1,1,1,2,1,1,3,0.00,0.00,25.91,0.00,29.63,6.57,54.85,44.33,33.43,45.15,26.04,34.09
1,5,256.93,477.48,152.98,15.44,16.74,19.86,00:16.64,00:28.52,00:07.70,140.05,146.48,62.96,65.21,94.96,21.71,28.56,95.14,23.31,23.10,140.90,45.00,1,4,2,1,3,1,1,2,1,1,4,2,56.43,29.20,35.09,23.57,17.37,13.38,10.33,20.33,16.63,9.67,33.10,34.90
1,6,1419.48,107.35,285.84,11.88,13.99,15.17,01:59.52,00:07.67,00:18.84,272.18,61.90,120.62,420.46,23.44,32.07,395.95,0.00,36.22,330.88,22.01,96.92,6,1,3,8,1,2,8,0,1,6,1,2,18.93,55.81,39.80,28.91,17.72,11.69,27.27,0.00,12.77,24.89,26.48,35.74
1,7,97.23,139.03,118.11,21.61,24.92,26.90,00:04.50,00:05.58,00:04.39,0.00,0.00,25.78,0.00,71.88,31.86,67.97,43.10,35.89,29.26,24.05,24.58,0,0,1,0,1,1,1,1,1,1,1,1,0.00,0.00,19.56,0.00,42.57,22.77,67.02,31.65,30.97,32.98,25.78,26.69
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,484.36,376.57,399.98,20.21,21.85,20.01,00:23.97,00:17.23,00:19.98,115.79,54.36,24.14,104.82,100.43,65.05,221.14,101.25,148.09,42.62,120.53,162.69,2,2,1,4,2,1,4,2,2,2,3,2,24.51,10.15,5.00,19.55,24.39,15.01,46.74,32.55,37.45,9.19,32.91,42.53
1,10,749.82,258.42,306.34,17.73,20.24,20.09,00:42.28,00:12.77,00:15.25,112.34,42.50,70.66,153.11,100.37,54.70,301.89,76.40,114.78,182.49,39.15,66.19,3,1,2,3,2,2,5,2,2,5,2,2,13.12,17.26,20.79,20.66,37.57,16.50,38.14,30.12,41.39,28.09,15.05,21.31
1,11,163.43,91.00,81.45,19.70,28.54,25.55,00:08.30,00:03.19,00:03.19,61.17,39.37,60.60,10.55,33.22,0.00,56.49,0.00,0.00,35.22,18.41,20.85,1,1,1,1,1,0,2,0,0,2,1,1,37.10,39.21,71.08,5.65,34.82,0.00,32.20,0.00,0.00,25.05,25.97,28.92
1,12,447.30,560.83,278.09,24.87,24.55,26.60,00:17.98,00:22.84,00:10.45,66.07,58.03,86.73,88.74,199.66,51.35,161.61,195.04,48.83,130.88,108.10,91.18,2,3,2,2,4,1,3,4,1,3,4,2,14.68,9.92,29.15,20.07,36.80,21.82,35.10,33.85,16.45,30.15,19.43,32.58
2,13,269.60,275.59,220.65,17.73,17.87,13.05,00:15.20,00:15.42,00:16.91,31.25,57.16,126.51,48.61,61.14,0.00,157.52,98.01,0.00,32.22,59.27,94.13,1,1,3,1,2,0,2,2,0,2,2,3,11.30,21.79,58.04,18.19,20.87,0.00,58.37,35.77,0.00,12.13,21.57,41.96
2,14,169.85,154.84,530.96,17.15,17.66,15.71,00:09.91,00:08.77,00:33.80,9.61,82.70,247.68,21.14,49.02,56.37,107.36,0.00,26.21,31.74,23.12,200.70,1,2,4,1,2,2,2,0,1,2,1,3,6.77,54.54,47.11,13.73,29.42,10.31,59.62,0.00,4.72,19.88,16.04,37.87
2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,241.27,93.71,148.96,22.03,25.52,23.31,00:10.95,00:03.67,00:06.39,3.74,50.48,112.35,80.27,22.08,9.73,92.52,0.00,0.00,64.75,21.14,26.89,1,1,2,2,1,1,3,0,0,2,1,1,1.42,52.34,69.69,32.52,20.42,7.57,38.25,0.00,0.00,27.81,27.23,22.74
2,17,238.31,467.18,137.06,20.84,22.45,24.16,00:11.44,00:20.81,00:05.67,0.00,142.49,44.71,49.69,157.49,28.31,147.22,40.23,28.81,41.40,126.97,35.23,0,4,1,1,4,1,2,1,1,1,2,1,0.00,32.21,29.48,21.73,31.91,17.63,60.79,7.66,21.21,17.49,28.23,31.68
2,18,286.58,94.29,644.74,16.58,22.94,19.82,00:17.28,00:04.11,00:32.53,96.42,23.40,193.72,23.80,41.18,294.80,110.76,0.00,51.28,55.61,29.71,104.93,3,1,6,1,1,5,1,0,3,3,1,4,35.90,22.43,28.72,8.32,39.54,45.49,36.80,0.00,8.45,18.99,38.03,17.34
2,19,903.24,124.58,234.74,19.79,21.84,17.13,00:45.64,00:05.70,00:13.70,117.60,75.92,4.44,62.36,17.27,160.01,526.47,0.00,26.66,196.81,31.38,43.63,2,2,1,3,2,1,9,0,1,7,1,1,12.19,55.88,1.37,6.47,12.61,66.59,58.61,0.00,11.97,22.73,31.51,20.07
2,20,603.00,1755.53,1720.82,15.63,14.68,14.37,00:38.58,01:59.61,01:59.78,8.54,156.50,491.08,60.32,266.50,417.00,315.04,984.32,428.97,219.10,348.21,383.78,1,2,8,1,6,9,3,8,7,3,5,6,1.13,8.32,27.58,9.24,12.85,24.28,55.25,56.72,24.09,34.39,22.10,24.05
2,21,155.54,163.76,70.74,16.48,14.97,16.00,00:09.44,00:10.94,00:04.42,0.00,52.61,47.74,0.00,73.76,0.00,85.41,0.00,0.00,70.12,37.39,22.99,0,1,1,0,1,0,2,0,0,2,1,1,0.00,30.00,65.02,0.00,45.57,0.00,49.51,0.00,0.00,50.49,24.43,34.98
2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,1453.70,370.26,100.04,14.98,15.78,16.89,01:37.06,00:23.47,00:05.92,597.76,143.17,61.62,484.64,24.78,0.00,277.90,98.42,0.00,93.40,103.89,38.42,9,2,2,14,2,0,8,2,0,3,3,2,43.87,40.41,57.26,32.34,6.13,0.00,17.66,28.29,0.00,6.13,25.17,42.74
2,24,74.20,141.37,57.15,13.49,12.46,16.63,00:05.50,00:11.34,00:03.44,0.00,41.40,33.74,0.00,28.33,0.00,41.70,0.00,0.00,32.49,71.65,23.41,0,1,1,0,1,0,1,0,0,1,1,1,0.00,26.03,50.01,0.00,19.69,0.00,51.42,0.00,0.00,48.58,54.27,49.99
3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,157.36,155.03,444.53,12.93,14.81,15.74,00:12.17,00:10.47,00:28.23,0.00,0.00,73.15,0.00,46.46,131.40,126.30,76.60,139.58,31.06,31.97,100.39,0,0,2,0,1,2,1,1,2,1,1,2,0.00,0.00,18.10,0.00,30.89,27.67,79.85,48.06,29.28,20.15,21.05,24.96
3,27,787.80,608.14,221.85,17.56,17.22,18.88,00:44.88,00:35.31,00:11.75,318.98,34.42,21.70,158.07,112.54,48.01,104.49,257.93,73.82,206.26,203.25,78.32,7,3,2,5,4,1,4,5,2,6,5,3,41.51,5.13,8.37,19.43,16.20,15.96,11.84,43.14,34.84,27.23,35.53,40.83
3,28,73.83,152.00,64.98,13.58,16.05,17.85,00:05.44,00:09.47,00:03.64,0.00,55.16,36.29,0.00,46.24,0.00,42.05,0.00,0.00,31.77,50.61,28.69,0,2,1,0,1,0,1,0,0,1,2,1,0.00,35.30,50.21,0.00,24.43,0.00,52.87,0.00,0.00,47.13,40.27,49.79
3,29,1763.32,1120.60,519.56,14.78,9.36,11.30,01:59.31,01:59.69,00:45.97,228.51,84.47,277.42,524.94,573.87,85.11,744.47,385.71,78.68,265.41,76.55,78.35,6,2,7,13,6,7,17,5,3,9,2,3,11.58,5.99,51.26,27.10,51.89,17.50,45.40,37.91,12.54,15.93,4.20,18.70
3,30,1635.91,468.29,59.43,20.51,19.22,23.33,01:19.77,00:24.36,00:02.55,222.61,80.87,17.46,400.47,247.25,0.00,776.99,77.88,0.00,235.84,62.29,41.97,9,3,1,13,3,0,14,2,0,9,3,1,12.75,17.39,22.69,22.74,53.24,0.00,49.62,15.59,0.00,14.88,13.79,77.31
3,31,73.45,127.74,857.39,19.75,20.64,16.86,00:03.72,00:06.19,00:50.84,0.00,0.00,212.44,0.00,35.37,263.82,37.25,60.32,317.47,36.19,32.04,63.66,0,0,5,0,1,9,1,1,8,1,1,3,0.00,0.00,24.25,0.00,25.00,31.29,39.50,47.22,36.91,60.50,27.78,7.56
3,32,306.60,67.75,94.57,17.58,27.80,25.54,00:17.44,00:02.44,00:03.70,14.23,35.84,18.11,17.63,10.77,20.96,226.08,0.00,34.59,48.67,21.14,20.91,1,1,1,1,1,1,2,0,1,2,1,1,5.02,46.16,16.04,6.00,12.80,20.25,70.61,0.00,36.70,18.37,41.03,27.01
3,33,669.99,204.87,562.99,22.26,18.95,19.10,00:30.09,00:10.81,00:29.47,273.98,98.31,384.14,49.52,45.30,0.00,165.87,7.83,0.00,180.62,53.43,178.85,5,2,6,2,1,0,3,1,0,6,2,6,41.33,45.80,67.66,8.25,15.17,0.00,22.79,3.03,0.00,27.63,36.00,32.34
3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,136.20,328.93,82.80,15.03,18.61,16.87,00:09.06,00:17.67,00:04.91,0.00,130.68,50.28,0.00,77.74,0.00,107.00,20.39,0.00,29.20,100.13,32.52,0,3,1,0,2,0,1,1,0,1,3,1,0.00,38.37,56.04,0.00,24.23,0.00,77.06,7.51,0.00,22.94,29.88,43.96
3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
