Gruppe,Mausnr,s1,s2,s3,speed in cm/s run 1,speed in cm/s run 2,speed in cm/s run 3,t1,t2,t3,in cm Q1/Run1,Q1/Run2,Q1/Run3,in cm Q2/Run1,Q2/Run2,Q2/Run3,in cm Q3/Run1,Q3/Run2,Q3/Run3,in cm Q4/Run1,Q4/Run2,Q4/Run3,Q1/Run1 visits,Q1/Run2 visits,Q1/Run3 visits,Q2/Run1 visits,Q2/Run2 visits,Q2/Run3 visits,Q3/Run1 visits,Q3/Run2 visits,Q3/Run3 visits,Q4/Run1 visits,Q4/Run2 visits,Q4/Run3 visits,Q1/run1 Zeit total in %,Q1/Run2 Zeit total in %,Q1/Run3 Zeit total in %,Q2/Run1 Zeit total in %,Q2/Run2 Zeit total in %,Q2/Run3 Zeit total in %,Q3/Run1 Zeit total in %,Q3/Run2 Zeit total in %,Q3/Run3 Zeit total in %,Q4/Run1 Zeit total in %,Q4/Run2 Zeit total in %,Q4/Run3 Zeit total in %
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,87.33,257.33,250.53,18.88,18.65,17.50,00:04.63,00:13.80,00:14.31,0.00,13.03,16.58,0.00,130.29,51.88,62.06,91.27,148.65,25.27,22.73,33.41,0,1,1,0,2,1,1,1,1,1,1,1,0.00,4.08,4.70,0.00,51.64,13.97,69.60,35.67,66.48,30.40,8.60,14.85
1,4,56.82,77.64,126.48,23.77,24.12,19.09,00:02.39,00:03.22,00:06.63,0.00,0.00,34.29,0.00,32.85,18.37,35.54,15.18,51.39,21.28,29.61,22.43,0,0,1,0,1,1,1,1,1,1,1,1,0.00,0.00,19.11,0.00,34.45,12.03,58.18,16.99,44.11,41.82,48.56,24.75
1,5,173.05,82.64,127.85,17.67,20.27,16.77,00:09.80,00:04.08,00:07.63,45.52,0.00,26.43,27.14,41.70,33.76,43.99,18.11,29.39,56.40,22.83,38.26,1,0,1,1,1,1,2,1,2,2,1,2,28.24,0.00,14.56,15.47,44.07,21.51,22.01,20.67,28.70,34.29,35.26,35.24
1,6,115.95,99.32,50.26,19.84,21.05,24.75,00:05.84,00:04.72,00:02.03,60.08,64.56,28.10,8.49,13.43,0.00,27.58,0.00,0.00,19.81,21.33,22.16,1,1,1,1,1,0,1,0,0,1,1,1,56.14,60.92,53.08,5.61,12.59,0.00,17.11,0.00,0.00,21.13,26.49,46.92
1,7,60.03,86.70,232.43,24.78,25.69,22.81,00:02.42,00:03.38,00:10.19,0.00,0.00,140.57,0.00,46.24,6.02,33.20,19.30,25.38,26.83,21.16,60.46,0,0,2,0,1,1,1,1,1,1,1,2,0.00,0.00,56.89,0.00,52.77,2.77,47.11,18.99,11.35,52.89,28.24,28.99
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,67.12,389.84,469.07,23.10,19.78,20.88,00:02.91,00:19.70,00:22.47,0.00,145.28,325.05,0.00,51.04,77.64,32.53,47.69,0.87,34.59,145.84,65.52,0,2,4,0,1,2,1,1,1,1,3,3,0.00,38.62,71.07,0.00,13.96,15.64,38.16,12.13,0.20,61.84,35.29,13.08
1,10,89.86,129.76,146.85,25.68,19.36,20.00,00:03.50,00:06.70,00:07.34,0.00,0.00,22.95,0.00,48.36,41.18,56.75,53.89,52.07,33.11,27.51,30.66,0,0,1,0,1,1,1,1,1,1,1,1,0.00,0.00,11.27,0.00,29.14,25.53,58.91,43.59,37.02,41.09,27.27,26.17
1,11,40.71,101.36,52.76,26.32,28.58,28.86,00:01.55,00:03.55,00:01.83,0.00,0.00,25.27,0.00,41.17,0.00,16.14,39.71,0.00,24.57,20.48,27.50,0,0,1,0,1,0,1,1,0,1,1,1,0.00,0.00,41.03,0.00,38.31,0.00,32.32,33.49,0.00,67.68,28.19,58.97
1,12,258.53,221.65,214.23,25.11,28.20,30.34,00:10.30,00:07.86,00:07.06,55.97,59.11,96.68,57.21,95.51,46.90,102.45,45.01,35.83,42.89,22.02,34.82,1,1,2,1,2,1,2,1,1,2,1,2,21.24,26.05,44.69,20.64,40.36,21.47,39.46,23.06,16.37,18.67,10.54,17.47
2,13,70.98,84.63,73.03,18.02,24.28,21.34,00:03.94,00:03.49,00:03.42,0.00,0.00,13.90,0.00,33.26,28.64,30.72,26.30,1.87,40.25,25.08,28.62,0,0,1,0,1,1,1,1,1,1,1,1,0.00,0.00,18.73,0.00,35.41,34.69,36.11,27.80,2.28,63.89,36.79,44.30
2,14,120.54,318.32,131.85,18.07,18.90,18.96,00:06.67,00:16.84,00:06.95,0.00,64.73,19.35,3.82,45.80,28.55,86.17,119.39,55.21,30.55,88.39,28.73,0,1,1,1,2,1,2,2,1,1,2,1,0.00,21.15,14.83,3.75,14.56,18.87,71.19,36.73,40.46,25.06,27.55,25.84
2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,55.62,85.63,189.23,29.18,23.63,21.21,00:01.91,00:03.62,00:08.92,0.00,0.00,91.55,0.00,44.81,21.33,28.45,5.81,22.24,27.18,35.01,54.12,0,0,2,0,1,1,1,1,1,1,1,2,0.00,0.00,42.21,0.00,42.69,10.68,49.16,7.75,12.61,50.84,49.56,34.51
2,17,329.35,221.19,157.70,25.06,24.41,29.00,00:13.14,00:09.06,00:05.44,13.26,27.41,29.50,143.24,115.72,47.63,146.59,54.45,48.36,26.26,23.60,32.22,1,1,1,2,2,1,3,1,1,2,1,1,2.98,12.76,19.55,44.35,47.59,26.72,41.02,23.45,28.74,11.65,16.20,24.99
2,18,80.76,124.63,66.48,20.84,22.16,24.59,00:03.88,00:05.63,00:02.70,0.00,0.00,38.38,0.00,46.86,0.00,51.17,15.73,0.00,29.59,62.04,28.10,0,0,1,0,1,0,1,1,0,1,1,1,0.00,0.00,49.69,0.00,28.89,0.00,60.88,10.84,0.00,39.12,60.27,50.31
2,19,72.64,150.45,59.13,22.90,19.90,22.53,00:03.17,00:07.56,00:02.63,0.00,19.09,32.25,0.00,41.89,0.00,41.21,7.26,0.00,31.43,82.21,26.88,0,1,1,0,1,0,1,1,0,1,2,1,0.00,15.29,41.10,0.00,20.04,0.00,44.83,3.09,0.00,55.17,61.58,58.90
2,20,2117.53,215.87,141.16,17.69,18.52,18.32,01:59.73,00:11.66,00:07.70,650.91,81.37,68.47,330.25,111.98,14.00,524.77,0.00,0.00,611.60,22.52,58.69,11,1,2,6,1,1,9,0,0,13,1,1,30.17,39.40,46.05,15.75,46.52,8.72,24.85,0.00,0.00,29.23,14.08,45.23
2,21,71.71,63.32,,19.53,23.42,,00:03.67,00:02.70,,0.00,16.20,,0.00,27.13,,26.37,0.00,,45.33,19.99,,0,1,,0,1,,1,0,,1,1,,0.00,23.71,,0.00,35.26,,25.95,0.00,,74.05,41.03,
2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,243.13,133.96,117.29,22.65,19.94,20.85,00:10.73,00:06.72,00:05.63,0.00,22.16,41.90,78.39,30.99,0.00,110.14,13.81,31.81,54.59,67.00,43.58,0,1,1,1,1,0,3,1,1,2,2,2,0.00,12.55,33.05,35.08,18.38,0.00,38.72,10.70,28.32,26.21,58.37,38.63
2,24,59.89,90.69,68.60,17.92,17.38,16.26,00:03.34,00:05.22,00:04.22,0.00,21.69,42.84,0.00,22.56,0.00,35.23,0.00,0.00,24.67,46.44,25.75,0,1,1,0,1,0,1,0,0,1,1,1,0.00,21.56,53.71,0.00,20.37,0.00,53.75,0.00,0.00,46.25,58.08,46.29
3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,60.43,123.95,140.68,18.96,17.06,15.66,00:03.19,00:07.27,00:08.98,0.00,0.00,30.91,0.00,47.79,49.83,37.20,50.55,37.96,23.24,25.61,21.98,0,0,1,0,1,1,1,1,1,1,1,1,0.00,0.00,18.61,0.00,36.13,34.26,55.90,41.29,24.52,44.10,22.58,22.61
3,27,70.61,146.14,125.25,24.17,18.78,20.45,00:02.92,00:07.78,00:06.13,0.00,14.15,13.85,0.00,72.47,48.12,38.62,28.30,37.83,31.99,31.22,25.45,0,1,1,0,2,1,1,1,1,1,1,1,0.00,8.83,8.42,0.00,44.18,33.16,53.49,19.88,29.60,46.51,27.10,28.82
3,28,181.64,106.73,111.37,16.35,17.84,17.09,00:11.11,00:05.98,00:06.52,61.64,0.00,25.97,65.19,36.86,28.16,32.30,43.90,0.00,22.50,25.98,57.24,1,0,2,1,1,1,1,1,0,1,1,1,32.07,0.00,19.43,40.36,26.37,19.66,13.50,39.42,0.00,14.06,34.21,60.91
3,29,55.30,568.53,54.72,17.35,17.11,19.90,00:03.19,00:33.22,00:02.75,0.00,156.46,32.63,0.00,155.84,0.00,27.80,143.93,0.00,27.51,112.30,22.09,0,3,1,0,3,0,1,2,0,1,3,1,0.00,25.73,53.42,0.00,27.33,0.00,44.59,26.62,0.00,55.41,20.32,46.58
3,30,144.17,106.75,61.24,22.02,25.78,30.62,00:06.55,00:04.14,00:02.00,11.51,46.84,43.72,11.04,39.10,0.00,63.77,0.00,0.00,57.85,20.80,17.52,1,1,1,1,1,0,2,0,0,2,1,1,10.98,38.49,65.60,9.79,35.47,0.00,33.89,0.00,0.00,45.33,26.03,34.40
3,31,186.50,68.22,,22.06,25.99,,00:08.45,00:02.63,,103.10,0.00,,14.65,30.32,,32.01,7.79,,36.74,30.11,,2,0,,1,1,,1,1,,2,1,,52.88,0.00,,7.57,37.49,,11.08,10.74,,28.46,51.77,
3,32,148.73,95.98,55.79,22.29,26.48,26.44,00:06.67,00:03.63,00:02.11,48.36,25.42,36.46,49.78,42.05,0.00,32.45,0.00,0.00,18.14,28.51,19.33,1,1,1,1,1,0,1,0,0,1,1,1,36.54,23.28,54.08,31.15,37.08,0.00,16.62,0.00,0.00,15.69,39.64,45.92
3,33,62.58,120.08,49.11,25.35,21.77,25.15,00:02.47,00:05.52,00:01.95,0.00,86.52,31.27,0.00,15.80,0.00,31.59,0.00,0.00,30.99,17.76,17.84,0,1,1,0,1,0,1,0,0,1,1,1,0.00,72.53,51.20,0.00,8.49,0.00,39.89,0.00,0.00,60.11,18.98,48.80
3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,59.43,331.12,51.53,19.11,17.88,18.22,00:03.11,00:18.52,00:02.83,0.00,153.04,26.98,0.00,47.41,0.00,26.61,42.33,0.00,32.82,88.34,24.55,0,3,1,0,2,0,1,2,0,1,4,1,0.00,45.40,46.39,0.00,11.82,0.00,38.20,13.84,0.00,61.80,28.94,53.61
3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
